Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Cyprus,Cyprus,CY,838.25,1063.32,9.47,9.47,tsoc.org.cy,false,
2023-01-01 01:00:00,Cyprus,Cyprus,CY,847.78,1075.49,8.44,8.44,tsoc.org.cy,false,
2023-01-01 02:00:00,Cyprus,Cyprus,CY,824.4,1046.41,10.97,10.97,tsoc.org.cy,false,
2023-01-01 03:00:00,Cyprus,Cyprus,CY,820.99,1042.16,11.34,11.34,tsoc.org.cy,false,
2023-01-01 04:00:00,Cyprus,Cyprus,CY,800.95,1017.05,13.5,13.5,tsoc.org.cy,false,
2023-01-01 05:00:00,Cyprus,Cyprus,CY,778.37,989.17,15.94,15.94,tsoc.org.cy,false,
2023-01-01 06:00:00,Cyprus,Cyprus,CY,633.66,810.19,31.57,31.57,tsoc.org.cy,false,
2023-01-01 07:00:00,Cyprus,Cyprus,CY,553.27,711.15,40.25,40.25,tsoc.org.cy,false,
2023-01-01 08:00:00,Cyprus,Cyprus,CY,532.66,685.82,42.47,42.47,tsoc.org.cy,false,
2023-01-01 09:00:00,Cyprus,Cyprus,CY,504.52,650.88,45.51,45.51,tsoc.org.cy,false,
2023-01-01 10:00:00,Cyprus,Cyprus,CY,507.78,654.9,45.16,45.16,tsoc.org.cy,false,
2023-01-01 11:00:00,Cyprus,Cyprus,CY,526.1,677.69,43.18,43.18,tsoc.org.cy,false,
2023-01-01 12:00:00,Cyprus,Cyprus,CY,593.34,760.94,35.92,35.92,tsoc.org.cy,false,
2023-01-01 13:00:00,Cyprus,Cyprus,CY,741.69,944.28,19.9,19.9,tsoc.org.cy,false,
2023-01-01 14:00:00,Cyprus,Cyprus,CY,834.13,1058.18,9.92,9.92,tsoc.org.cy,false,
